time,id,x,y
197,29,35.959999999999994,5.0
197,30,38.5076917379058,3.850769173790583
197,31,27.6,5.0
197,32,9.9,5.0
197,33,27.761290083637917,2.776129008363793
197,34,7.0,5.0
198,18,99.0,5.0
198,19,80.0,5.0
198,20,83.44720729174985,5.0
198,21,78.0,5.0
198,22,43.970445912158695,4.39704459121587
198,23,68.0,5.0
198,24,61.20000000000001,5.0
198,25,55.000000000000014,5.0
198,26,41.49280330853577,4.149280330853579
198,27,40.00000000000001,5.0
198,28,38.0,5.0
198,29,35.959999999999994,5.0
198,30,39.104714052031795,3.9104714052031824
198,31,28.6,5.0
198,32,10.450000000000001,5.0
198,33,28.35831239776391,2.8358312397763923
198,34,8.0,5.0
199,18,100.0,5.0
199,19,81.0,5.0
199,20,84.44720729174985,5.0
199,21,79.0,5.0
199,22,44.29880818492799,4.4298808184928
199,23,69.0,5.0
199,24,62.20000000000001,5.0
199,25,56.000000000000014,5.0
199,26,41.49280330853577,4.149280330853579
199,27,40.00000000000001,5.0
199,28,38.0,5.0
199,29,35.959999999999994,5.0
199,30,39.104714052031795,3.9104714052031824
199,31,29.6,5.0
199,32,11.000000000000002,5.0
199,33,28.955334711889904,2.8955334711889917
199,34,9.0,5.0
200,19,82.0,5.0
200,20,85.44720729174985,5.0
200,21,80.0,5.0
200,22,44.62717045769729,4.462717045769729
200,23,70.0,5.0
200,24,63.20000000000001,5.0
200,25,57.000000000000014,5.0
200,26,42.08982562266176,4.208982562266178
200,27,40.00000000000001,5.0
200,28,38.0,5.0
200,29,35.959999999999994,5.0
200,30,39.70173636615779,3.970173636615782
200,31,30.6,5.0
200,32,11.550000000000002,5.0
200,33,29.552357026015898,2.955235702601591
200,34,9.0,5.0
200,35,1.0,5.0
205,39,1.0,5.0
206,39,2.0,5.0
207,39,3.0,5.0
208,39,4.0,5.0
209,39,5.0,5.0
210,39,6.0,5.0
210,40,0.55,5.0
211,39,7.0,5.0
211,40,1.1,5.0
212,39,8.0,5.0
212,40,1.6500000000000001,5.0
213,39,9.0,5.0
213,40,2.2,5.0
214,39,10.0,5.0
214,40,2.75,5.0
215,39,11.0,5.0
215,40,3.3,5.0
215,41,20.597022314125994,2.0597022314125994
216,39,12.0,5.0
216,40,3.8499999999999996,5.0
216,41,21.194044628251987,2.119404462825199
217,39,13.0,5.0
217,40,4.3999999999999995,5.0
217,41,21.79106694237798,2.1791066942377983
218,39,14.0,5.0
218,40,4.949999999999999,5.0
218,41,22.388089256503974,2.238808925650398
219,39,15.0,5.0
219,40,5.499999999999999,5.0
219,41,22.985111570629968,2.2985111570629972
220,39,16.0,5.0
220,40,6.049999999999999,5.0
220,41,23.58213388475596,2.3582133884755967
221,39,17.0,5.0
